"Itemnumber","Collectionname","Groupnumber","Catintrono","Stylename","Roomname","Groupname","Piecename","Fabriccolor","Finishcolor","Assemblyrequired","Typeofpackaging","Pack","Dropship","Countryoforigin","Catalogdescription","Shippingweight","Cubes","Itemdesc","Cartonlength","Cartonwidth","Cartonheight","Product 1 Desc","Product 1 Length","Product 1 Width","Product 1 Height","Product 2 Desc","Product 2 Length","Product 2 Width","Product 2 Height","Product 3 Desc","Product 3 Length","Product 3 Width","Product 3 Height","Product 4 Desc","Product 4 Length","Product 4 Width","Product 4 Height","UPC",
"1000F",,"G1000F","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",73,12.63,"CAPRI FULL MATTRESS",75,54,8,"CAPRI FULL MATTRESS",0,54,75,,,,,,,,,,,,,21032228934,
"1000KE",,"G1000KE","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",114,17.11,"CAPRI KING MATTRESS",80,76,8,"CAPRI KING MATTRESS",0,76,80,,,,,,,,,,,,,21032228958,
"1000KW",,"G1000KW","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",117,17.59,"CAPRI CALIFORNIA KING MATTRESS",84,72,8,"CAPRI CALIFORNIA KING MATTRESS",0,72,84,,,,,,,,,,,,,21032228965,
"1000Q",,"G1000Q","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",93,12.96,"CAPRI QUEEN MATTRESS",80,60,8,"CAPRI QUEEN MATTRESS",0,60,80,,,,,,,,,,,,,21032228941,
"1000T",,"G1000T","2006-2","CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",58,9.77,"CAPRI TWIN MATTRESS",75,39,8,"CAPRI TWIN MATTRESS",0,39,75,,,,,,,,,,,,,21032228910,
"1000TL",,"G1000TL",2007,"CON (CONTEMPORARY)","B (BEDROOM)","MATTRESSES","MATTRESS","White",,0,"BAG",1,0,"China","Complete support as you sleep we only use premium comfort foam in our mattresses to provide a balance of pressure relieving comfort and support for your body. Our air barrier layer gives support and keeps you cool as you sleep. The removable washable cover is dust mite and allergen resistant.",63,9.77,"CAPRI TWIN LONG MATTRESS",80,39,8,"CAPRI TWIN LONG MATTRESS",0,39,80,,,,,,,,,,,,,21032228927,
100128,,"G100128",2006,"TRN (TRANSITIONAL)","D (DINING)","COUNTER HEIGHT","BAR SET",,"Cherry",0,"BOX",1,0,"China","All in one bar unit with three different game table settings in cherry. Wine shelves and glass holders included. Matching bar stool with cushion seat available.",158.4,15.58,"CHERRY BAR UNIT",57,31.5,15,"CHERRY BAR UNIT",25.75,24.25,40.5,,,,,,,,,,,,,21032133979,
100129,,"G100128",2006,"TRN (TRANSITIONAL)","D (DINING)","COUNTER HEIGHT","BAR STOOL",,"Cherry",0,"BOX",1,0,"China","All in one bar unit with three different game table settings in cherry. Wine shelves and glass holders included. Matching bar stool with cushion seat available.",17.6,2.52,"CHERRY BAR STOOL",27.5,19.25,19.25,"CHERRY BAR STOOL",25.25,25.25,29,,,,,,,,,,,,,21032133986,
100131,"Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",,,,,,,"DINING TABLE",108,44,30.5,,,,,,,,,,,,,,
"100131B1","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",185.9,19.33,"B1 = DINING TABLE TOP, BOX 1 OF 2",87,48,8,,,,,,,,,,,,,,,,,21032128234,
"100131B2","Saint Charles Collection","G100131","2005-2","TRA (TRADITIONAL)","D (DINING)","FORMAL DINING","TABLE",,"Brown",1,"BOX",1,0,"China","Create a focal point of beauty with the traditional styling of this dining table. The double pedestals and table edges have stunning, intricate detail that are sure to make a sophisticated statement in your dinning room.",95.48,9.31,"B2 = DINING TABLE BASE, BOX 2 OF 2",25,25,25.75,,,,,,,,,,,,,,,,,21032128241,
